Pergunta,Opção 1,Opção 2,Opção 3,Opção 4,Opção 5,Resposta
Qual é o processo pelo qual as plantas produzem seu próprio alimento?,Fermentação,Respiração,Fotossíntese,Transpiração,Germinação,3
Qual órgão é responsável por bombear o sangue no corpo humano?,Pulmão,Fígado,Coração,Rim,Cérebro,3
Qual é o planeta mais próximo do Sol?,Terra,Marte,Júpiter,Mercúrio,Saturno,4
Qual é a unidade básica da vida?,Átomo,Molécula,Célula,Tejido,Órgão,3
O que é necessário para que ocorra a combustão?,Nitrogênio e calor,Oxigênio e calor,Oxigênio e água,Água e calor,Nitrogênio e água,2
Qual é o estado físico da água em 100°C ao nível do mar?,Sólido,Líquido,Gasoso,Plasma,Condensado,3
Qual gás as plantas absorvem durante a fotossíntese?,Oxigênio,Hidrogênio,Nitrogênio,Dióxido de carbono,Metano,4
Qual é a principal função do esqueleto humano?,Produzir sangue,Absorver nutrientes,Proteger órgãos internos,Regular hormônios,Produzir energia,3
Qual é o maior órgão do corpo humano?,Coração,Fígado,Pulmão,Estômago,Pele,5
Qual ciência estuda os seres vivos?,Física,Química,Biologia,Geologia,Astronomia,3
