Pergunta,Opção 1,Opção 2,Opção 3,Opção 4,Opção 5,Resposta
Qual é o maior planeta do Sistema Solar?,Marte,Vênus,Terra,Júpiter,Saturno,4
Quem pintou a Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo,Claude Monet,3
Qual é o elemento químico representado pelo símbolo 'O'?,Ouro,Oxigênio,Ozônio,Ósmio,Olíbio,2
Em qual continente está localizado o deserto do Saara?,América do Sul,Ásia,Europa,África,Austrália,4
Qual é a capital da Austrália?,Sydney,Melbourne,Brisbane,Perth,Canberra,5
Qual é o animal símbolo da WWF (World Wildlife Fund)?,Tigre,Urso-pardo,Panda-gigante,Elefante,Golfinho,3
Quem é o autor do livro 'Dom Quixote'?,William Shakespeare,Miguel de Cervantes,Victor Hugo,Dante Alighieri,Fiódor Dostoiévski,2
Qual é a fórmula da água?,CO2,O2,H2O,CH4,NH3,3
Qual é a moeda oficial do Japão?,Dólar,Euro,Yuan,Iene,Libra,4
Qual país é conhecido como a terra do sol nascente?,Coreia do Sul,Japão,China,Índia,Tailândia,2
