Pergunta,Opção 1,Opção 2,Opção 3,Opção 4,Opção 5,Resposta
Quem pintou o teto da Capela Sistina?,Leonardo da Vinci,Michelangelo,Donatello,Rafael,Caravaggio,2
Qual movimento artístico é conhecido por sua ênfase no inconsciente e no surreal?,Impressionismo,Expressionismo,Surrealismo,Cubismo,Barroco,3
Qual é o instrumento principal em uma orquestra sinfônica?,Piano,Violino,Flauta,Contrabaixo,Bateria,2
Quem é o autor da obra 'O Pensador'?,Michelangelo,Auguste Rodin,Donatello,Rafael,Henry Moore,2
Qual é a arte de dobrar papel sem cortar ou colar chamada?,Crochê,Origami,Escultura,Pintura,Cerâmica,2
Qual é o nome do famoso museu localizado em Paris que abriga a Mona Lisa?,Museu do Prado,Louvre,British Museum,Metropolitan Museum,Museu de Arte Moderna,2
Qual estilo artístico é caracterizado por formas geométricas e fragmentação?,Realismo,Romantismo,Cubismo,Expressionismo,Futurismo,3
Qual era a principal técnica de pintura usada pelos artistas do Renascimento?,Aquarela,Têmpera,Pintura a óleo,Fresco,Pastel,3
Quem compôs a obra 'Quatro Estações'?,Ludwig van Beethoven,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Antonio Vivaldi,Franz Schubert,4
Qual é o termo usado para descrever a diferença entre luz e sombra em uma pintura?,Proporção,Textura,Perspectiva,Contraste,Volume,4
