Pergunta,Opção 1,Opção 2,Opção 3,Opção 4,Opção 5,Resposta
Qual é o maior país do mundo em território?,Estados Unidos,Brasil,Canadá,Rússia,China,4
Qual é o rio mais extenso do mundo?,Rio Nilo,Rio Amazonas,Rio Yangtzé,Rio Mississippi,Rio Ganges,2
Em qual continente está localizado o Monte Everest?,África,América,Europa,Oceania,Ásia,5
Qual é o bioma predominante na região norte do Brasil?,Mata Atlântica,Cerrado,Pampa,Floresta Amazônica,Caatinga,4
Qual é o menor continente em área?,Ásia,Oceania,América do Sul,Europa,Antártida,2
Qual país é conhecido como o 'país do Sol Nascente'?,China,Coreia do Sul,Vietnã,Filipinas,Japão,5
Qual é o principal recurso natural extraído no Oriente Médio?,Ouro,Petróleo,Carvão,Madeira,Gás natural,2
Qual é a capital da Argentina?,Lima,Santiago,Bogotá,Buenos Aires,Caracas,4
Qual oceano banha a costa leste do Brasil?,Oceano Pacífico,Oceano Índico,Oceano Atlântico,Oceano Ártico,Oceano Antártico,3
Qual é o maior deserto do mundo?,Deserto do Saara,Deserto de Gobi,Deserto do Atacama,Deserto da Antártida,Deserto de Kalahari,4
