Pergunta,Opção 1,Opção 2,Opção 3,Opção 4,Opção 5,Resposta
Quem foi o primeiro imperador do Brasil?,Dom João VI,Dom Pedro II,Dom Pedro I,Dom Manuel,Dom Sebastião,3
Em que ano foi proclamada a independência do Brasil?,1808,1822,1889,1922,1500,2
Qual foi a capital do Brasil antes de Brasília?,Rio de Janeiro,Salvador,São Paulo,Recife,Porto Alegre,1
Quem liderou a Inconfidência Mineira?,Tiradentes,Zumbi dos Palmares,Dom Pedro I,Getúlio Vargas,José Bonifácio,1
Qual foi o principal produto econômico do Ciclo do Ouro?,Café,Açúcar,Minério de ferro,Ouro,Tabaco,4
Quando ocorreu a Proclamação da República no Brasil?,1822,1889,1922,1945,1964,2
Quem foi o principal líder da Revolução Farroupilha?,Dom Pedro II,Zumbi dos Palmares,Getúlio Vargas,Bento Gonçalves,José de Alencar,4
O que marcou o fim da escravidão no Brasil?,Independência do Brasil,Lei Áurea,Proclamação da República,Revolução de 1930,Constituição de 1824,2
Qual povo habitava o Brasil antes da chegada dos portugueses?,Os astecas,Os tupis,Os maias,Os incas,Os vikings,2
Qual foi a principal causa da Guerra do Paraguai?,Disputa territorial,Conflito religioso,Corrupção,Crise econômica,Independência de colônias,1
